36,99,0
72,217,19
77,167,17
92,409,36
97,258,20
100,471,37
100,910,78
102,215,21
103,137,18
104,79,1
123,840,79
124,476,39
125,415,38
134,62,2
134,256,22
139,295,23
146,892,80
153,519,47
160,653,65
161,892,81
166,532,48
167,846,85
169,168,24
169,808,84
171,57,3
173,783,83
175,608,58
178,764,86
178,890,82
182,234,25
186,378,40
191,799,87
194,686,67
194,849,88
197,477,41
199,660,66
213,851,90
218,832,89
222,603,59
223,691,69
227,649,68
229,626,60
232,561,50
232,732,91
233,812,92
238,755,93
241,583,51
242,531,49
242,671,70
246,90,13
248,493,42
248,798,96
252,820,97
256,228,26
256,597,61
257,453,43
260,611,62
261,711,95
263,807,100
265,759,99
266,690,94
272,657,71
274,42,4
274,598,63
276,59,5
278,341,28
280,688,98
287,278,27
292,514,52
292,723,101
294,816,103
302,837,104
303,41,7
305,599,64
306,668,73
306,689,105
307,78,6
309,771,102
313,640,72
330,467,44
334,732,106
335,778,107
338,154,14
339,539,53
345,57,8
353,659,75
354,706,109
354,767,111
357,733,110
360,523,54
363,496,45
370,743,113
372,86,9
374,687,112
381,97,10
381,465,46
382,603,76
384,122,11
384,804,114
393,563,55
405,105,12
405,201,15
405,789,115
408,208,16
427,772,116
446,536,56
454,301,29
464,770,117
477,677,74
493,606,57
497,464,32
500,783,118
508,512,35
511,450,31
511,796,119
522,758,77
533,763,108
540,815,120
544,775,122
553,815,121
555,428,33
586,453,34
594,790,30
